donut number = 2, In-ptr =  7, serial-counter =  87
donut number = 3, In-ptr =  22, serial-counter =  62
donut number = 3, In-ptr =  23, serial-counter =  63
donut number = 3, In-ptr =  24, serial-counter =  64
donut number = 0, In-ptr =  39, serial-counter =  79
donut number = 1, In-ptr =  32, serial-counter =  72
donut number = 3, In-ptr =  25, serial-counter =  65
donut number = 3, In-ptr =  26, serial-counter =  66
donut number = 2, In-ptr =  8, serial-counter =  88
donut number = 0, In-ptr =  0, serial-counter =  80
donut number = 3, In-ptr =  27, serial-counter =  67
donut number = 0, In-ptr =  1, serial-counter =  81
donut number = 3, In-ptr =  28, serial-counter =  68
donut number = 3, In-ptr =  29, serial-counter =  69
donut number = 2, In-ptr =  9, serial-counter =  89
donut number = 0, In-ptr =  2, serial-counter =  82
donut number = 2, In-ptr =  10, serial-counter =  90
donut number = 2, In-ptr =  11, serial-counter =  91
donut number = 1, In-ptr =  33, serial-counter =  73
donut number = 1, In-ptr =  34, serial-counter =  74
donut number = 3, In-ptr =  30, serial-counter =  70
donut number = 1, In-ptr =  35, serial-counter =  75
donut number = 2, In-ptr =  12, serial-counter =  92
donut number = 0, In-ptr =  3, serial-counter =  83
donut number = 2, In-ptr =  13, serial-counter =  93
donut number = 3, In-ptr =  31, serial-counter =  71
donut number = 2, In-ptr =  14, serial-counter =  94
donut number = 3, In-ptr =  32, serial-counter =  72
donut number = 3, In-ptr =  33, serial-counter =  73
donut number = 2, In-ptr =  15, serial-counter =  95
donut number = 1, In-ptr =  36, serial-counter =  76
donut number = 3, In-ptr =  34, serial-counter =  74
donut number = 0, In-ptr =  4, serial-counter =  84
donut number = 0, In-ptr =  5, serial-counter =  85
donut number = 0, In-ptr =  6, serial-counter =  86
donut number = 3, In-ptr =  35, serial-counter =  75
donut number = 2, In-ptr =  16, serial-counter =  96
donut number = 3, In-ptr =  36, serial-counter =  76
donut number = 1, In-ptr =  37, serial-counter =  77
donut number = 3, In-ptr =  37, serial-counter =  77
donut number = 2, In-ptr =  17, serial-counter =  97
donut number = 2, In-ptr =  18, serial-counter =  98
donut number = 3, In-ptr =  38, serial-counter =  78
donut number = 3, In-ptr =  39, serial-counter =  79
donut number = 1, In-ptr =  38, serial-counter =  78
donut number = 0, In-ptr =  7, serial-counter =  87
donut number = 1, In-ptr =  39, serial-counter =  79
donut number = 2, In-ptr =  19, serial-counter =  99
donut number = 0, In-ptr =  8, serial-counter =  88
donut number = 2, In-ptr =  20, serial-counter =  100
donut number = 0, In-ptr =  9, serial-counter =  89
donut number = 0, In-ptr =  10, serial-counter =  90
donut number = 2, In-ptr =  21, serial-counter =  101
donut number = 1, In-ptr =  0, serial-counter =  80
donut number = 1, In-ptr =  1, serial-counter =  81
donut number = 1, In-ptr =  2, serial-counter =  82
donut number = 0, In-ptr =  11, serial-counter =  91
donut number = 2, In-ptr =  22, serial-counter =  102
donut number = 1, In-ptr =  3, serial-counter =  83
donut number = 1, In-ptr =  4, serial-counter =  84
donut number = 2, In-ptr =  23, serial-counter =  103
donut number = 0, In-ptr =  12, serial-counter =  92
donut number = 1, In-ptr =  5, serial-counter =  85
donut number = 1, In-ptr =  6, serial-counter =  86
donut number = 0, In-ptr =  13, serial-counter =  93
donut number = 0, In-ptr =  14, serial-counter =  94
donut number = 3, In-ptr =  0, serial-counter =  80
donut number = 3, In-ptr =  1, serial-counter =  81
donut number = 0, In-ptr =  15, serial-counter =  95
donut number = 2, In-ptr =  24, serial-counter =  104
donut number = 2, In-ptr =  25, serial-counter =  105
donut number = 2, In-ptr =  26, serial-counter =  106
donut number = 3, In-ptr =  2, serial-counter =  82
donut number = 3, In-ptr =  3, serial-counter =  83
donut number = 2, In-ptr =  27, serial-counter =  107
donut number = 0, In-ptr =  16, serial-counter =  96
donut number = 3, In-ptr =  4, serial-counter =  84
donut number = 3, In-ptr =  5, serial-counter =  85
donut number = 3, In-ptr =  6, serial-counter =  86
donut number = 1, In-ptr =  7, serial-counter =  87
donut number = 3, In-ptr =  7, serial-counter =  87
donut number = 3, In-ptr =  8, serial-counter =  88
donut number = 0, In-ptr =  17, serial-counter =  97
donut number = 2, In-ptr =  28, serial-counter =  108
donut number = 3, In-ptr =  9, serial-counter =  89
donut number = 1, In-ptr =  8, serial-counter =  88
donut number = 1, In-ptr =  9, serial-counter =  89
donut number = 3, In-ptr =  10, serial-counter =  90
donut number = 0, In-ptr =  18, serial-counter =  98
donut number = 3, In-ptr =  11, serial-counter =  91
donut number = 2, In-ptr =  29, serial-counter =  109
donut number = 3, In-ptr =  12, serial-counter =  92
donut number = 0, In-ptr =  19, serial-counter =  99
donut number = 1, In-ptr =  10, serial-counter =  90
donut number = 3, In-ptr =  13, serial-counter =  93
donut number = 2, In-ptr =  30, serial-counter =  110
donut number = 3, In-ptr =  14, serial-counter =  94
donut number = 2, In-ptr =  31, serial-counter =  111
donut number = 0, In-ptr =  20, serial-counter =  100
donut number = 3, In-ptr =  15, serial-counter =  95
donut number = 1, In-ptr =  11, serial-counter =  91
donut number = 3, In-ptr =  16, serial-counter =  96
donut number = 2, In-ptr =  32, serial-counter =  112
donut number = 0, In-ptr =  21, serial-counter =  101
donut number = 0, In-ptr =  22, serial-counter =  102
donut number = 0, In-ptr =  23, serial-counter =  103
donut number = 1, In-ptr =  12, serial-counter =  92
donut number = 3, In-ptr =  17, serial-counter =  97
donut number = 2, In-ptr =  33, serial-counter =  113
donut number = 3, In-ptr =  18, serial-counter =  98
donut number = 1, In-ptr =  13, serial-counter =  93
donut number = 1, In-ptr =  14, serial-counter =  94
donut number = 3, In-ptr =  19, serial-counter =  99
donut number = 3, In-ptr =  20, serial-counter =  100
donut number = 0, In-ptr =  24, serial-counter =  104
donut number = 2, In-ptr =  34, serial-counter =  114
donut number = 1, In-ptr =  15, serial-counter =  95
donut number = 3, In-ptr =  21, serial-counter =  101
donut number = 2, In-ptr =  35, serial-counter =  115
donut number = 3, In-ptr =  22, serial-counter =  102
donut number = 2, In-ptr =  36, serial-counter =  116
donut number = 1, In-ptr =  16, serial-counter =  96
donut number = 0, In-ptr =  25, serial-counter =  105
donut number = 0, In-ptr =  26, serial-counter =  106
donut number = 0, In-ptr =  27, serial-counter =  107
donut number = 2, In-ptr =  37, serial-counter =  117
donut number = 3, In-ptr =  23, serial-counter =  103
donut number = 1, In-ptr =  17, serial-counter =  97
donut number = 1, In-ptr =  18, serial-counter =  98
donut number = 2, In-ptr =  38, serial-counter =  118
donut number = 0, In-ptr =  28, serial-counter =  108
donut number = 0, In-ptr =  29, serial-counter =  109
donut number = 1, In-ptr =  19, serial-counter =  99
donut number = 0, In-ptr =  30, serial-counter =  110
donut number = 1, In-ptr =  20, serial-counter =  100
donut number = 2, In-ptr =  39, serial-counter =  119
donut number = 0, In-ptr =  31, serial-counter =  111
donut number = 0, In-ptr =  32, serial-counter =  112
donut number = 3, In-ptr =  24, serial-counter =  104
donut number = 0, In-ptr =  33, serial-counter =  113
donut number = 1, In-ptr =  21, serial-counter =  101
donut number = 2, In-ptr =  0, serial-counter =  120
donut number = 0, In-ptr =  34, serial-counter =  114
donut number = 0, In-ptr =  35, serial-counter =  115
donut number = 1, In-ptr =  22, serial-counter =  102
donut number = 1, In-ptr =  23, serial-counter =  103
donut number = 0, In-ptr =  36, serial-counter =  116
donut number = 1, In-ptr =  24, serial-counter =  104
donut number = 1, In-ptr =  25, serial-counter =  105
donut number = 0, In-ptr =  37, serial-counter =  117
donut number = 0, In-ptr =  38, serial-counter =  118
donut number = 3, In-ptr =  25, serial-counter =  105
donut number = 2, In-ptr =  1, serial-counter =  121
donut number = 0, In-ptr =  39, serial-counter =  119
donut number = 3, In-ptr =  26, serial-counter =  106
donut number = 1, In-ptr =  26, serial-counter =  106
donut number = 3, In-ptr =  27, serial-counter =  107
donut number = 3, In-ptr =  28, serial-counter =  108
donut number = 0, In-ptr =  0, serial-counter =  120
donut number = 1, In-ptr =  27, serial-counter =  107
donut number = 3, In-ptr =  29, serial-counter =  109
donut number = 1, In-ptr =  28, serial-counter =  108
donut number = 2, In-ptr =  2, serial-counter =  122
donut number = 2, In-ptr =  3, serial-counter =  123
donut number = 2, In-ptr =  4, serial-counter =  124
donut number = 2, In-ptr =  5, serial-counter =  125
donut number = 2, In-ptr =  6, serial-counter =  126
donut number = 2, In-ptr =  7, serial-counter =  127
donut number = 1, In-ptr =  29, serial-counter =  109
donut number = 0, In-ptr =  1, serial-counter =  121
donut number = 0, In-ptr =  2, serial-counter =  122
donut number = 2, In-ptr =  8, serial-counter =  128
donut number = 1, In-ptr =  30, serial-counter =  110
donut number = 2, In-ptr =  9, serial-counter =  129
donut number = 1, In-ptr =  31, serial-counter =  111
donut number = 3, In-ptr =  30, serial-counter =  110
donut number = 3, In-ptr =  31, serial-counter =  111
donut number = 2, In-ptr =  10, serial-counter =  130
donut number = 1, In-ptr =  32, serial-counter =  112
donut number = 3, In-ptr =  32, serial-counter =  112
donut number = 3, In-ptr =  33, serial-counter =  113
donut number = 0, In-ptr =  3, serial-counter =  123
donut number = 2, In-ptr =  11, serial-counter =  131
donut number = 1, In-ptr =  33, serial-counter =  113
donut number = 0, In-ptr =  4, serial-counter =  124
donut number = 1, In-ptr =  34, serial-counter =  114
donut number = 3, In-ptr =  34, serial-counter =  114
donut number = 1, In-ptr =  35, serial-counter =  115
donut number = 1, In-ptr =  36, serial-counter =  116
donut number = 0, In-ptr =  5, serial-counter =  125
donut number = 3, In-ptr =  35, serial-counter =  115
donut number = 1, In-ptr =  37, serial-counter =  117
donut number = 3, In-ptr =  36, serial-counter =  116
donut number = 2, In-ptr =  12, serial-counter =  132
donut number = 2, In-ptr =  13, serial-counter =  133
donut number = 1, In-ptr =  38, serial-counter =  118
donut number = 1, In-ptr =  39, serial-counter =  119
